Code,Description1,Description2,Type,Unknown1,Unknown2,Unknown3,Unknown4,last_updated
GF001007,"Non-physician (e.g. nurse practitioner (np), certified registered nurse",Nonphysician serv c a hosp,,,C,,200304012003,2025-09-12 20:34:03
GF002008,"anesthetist (crna), certified registered nurse (crn), clinical nurse specialist",,,,,,,2025-09-12 20:34:03
GF003008,"(cns), physician assistant (pa)) services in a critical access hospital",,,,,,,2025-09-12 20:34:03
GG001007,Performance and payment of a screening mammogram and diagnostic mammogram on,Payment screen mam + diagmam,,,C,,200201012002,2025-09-12 20:34:03
GG002008,"the same patient, same day",,,,,,,2025-09-12 20:34:03
GH001007,Diagnostic mammogram converted from screening mammogram on same day,Diag mammo to screening mamo,,,C,,199810011998,2025-09-12 20:34:03
GJ001007,"""opt out"" physician or practitioner emergency or urgent service",Opt out provider of er srvc,,,C,,199810011998,2025-09-12 20:34:03
GK001007,Reasonable and necessary item/service associated with a ga or gz modifier,Actual item/service ordered,,,C,,200201012008,2025-09-12 20:34:03
GL001007,"Medically unnecessary upgrade provided instead of non-upgraded item, no charge,","Upgraded item, no charge",,,C,,200201012008,2025-09-12 20:34:03
GL002008,no advance beneficiary notice (abn),,,,,,,2025-09-12 20:34:03
GM001007,Multiple patients on one ambulance trip,Multiple transports,,,C,,200201012002,2025-09-12 20:34:03
GN001007,Services delivered under an outpatient speech language pathology plan of care,Op speech language service,,,C,,199901012003,2025-09-12 20:34:03
GO001007,Services delivered under an outpatient occupational therapy plan of care,Op occupational therapy serv,,,C,,199901012003,2025-09-12 20:34:03
GP001007,Services delivered under an outpatient physical therapy plan of care,Op pt services,,,C,,199901012003,2025-09-12 20:34:03
GQ001007,Via asynchronous telecommunications system,Telehealth store and forward,,,C,,200110012001,2025-09-12 20:34:03
GR001007,This service was performed in whole or in part by a resident in a department of,Service by va resident,,,C,,200601012006,2025-09-12 20:34:03
GR002008,"veterans affairs medical center or clinic, supervised in accordance with va",,,,,,,2025-09-12 20:34:03
GR003008,policy,,,,,,,2025-09-12 20:34:03
GS001007,Dosage of erythropoietin stimulating agent has been reduced and maintained in,Epo/darbepoietin reduced 25%                           4273.1,,,D,,200601012013,2025-09-12 20:34:03
GS002008,response to hematocrit or hemoglobin level,,,,,,,2025-09-12 20:34:03
GT001007,Via interactive audio and video telecommunication systems,Interactivetelecommunication,,,D,0073,199901011999,2025-09-12 20:34:03
GU001007,"Waiver of liability statement issued as required by payer policy, routine notic",eLiability waiver rout notice,,,C,,201101012011,2025-09-12 20:34:03
GV001007,Attending physician not employed or paid under arrangement by the patient's,Attending phys not hospice                             4175-5,,,D,,200201012002,2025-09-12 20:34:03
GV002008,hospice provider,,,,,,,2025-09-12 20:34:03
GW001007,Service not related to the hospice patient's terminal condition,Service unrelated to term co                           4175-5,,,D,,200201012002,2025-09-12 20:34:03
GX001007,"Notice of liability issued, voluntary under payer policy",Voluntary liability notice,,,C,,201004012010,2025-09-12 20:34:03
GY001007,"Item or service statutorily excluded, does not meet the definition of any",Statutorily excluded,,,S,,200201012007,2025-09-12 20:34:03
GY002008,"medicare benefit or, for non-medicare insurers, is not a contract benefit",,,,,,,2025-09-12 20:34:03
GZ001007,Item or service expected to be denied as not reasonable and necessary,Not reasonable and necessary                           2000,,,M,,200201012002,2025-09-12 20:34:03
H9001007,Court-ordered,Court-ordered,,,I,,200301012003,2025-09-12 20:34:03
HA001007,Child/adolescent program,Child/adolescent program,,,I,,200301012003,2025-09-12 20:34:03
HB001007,"Adult program, non geriatric",Adult program non-geriatric,,,I,,200301012003,2025-09-12 20:34:03
HC001007,"Adult program, geriatric",Adult program geriatric,,,I,,200301012003,2025-09-12 20:34:03
HD001007,Pregnant/parenting women's program,Pregnant/parenting program,,,I,,200301012003,2025-09-12 20:34:03
HE001007,Mental health program,Mental health program,,,I,,200301012003,2025-09-12 20:34:03
HF001007,Substance abuse program,Substance abuse program,,,I,,200301012003,2025-09-12 20:34:03
HG001007,Opioid addiction treatment program,Opioid addiction tx program,,,I,,200301012003,2025-09-12 20:34:03
HH001007,Integrated mental health/substance abuse program,Mental hlth/substance abs pr,,,I,,200301012003,2025-09-12 20:34:03
HI001007,Integrated mental health and intellectual disability/developmental disabilities,Men hlth intel/dev disab pgm,,,I,,200301012014,2025-09-12 20:34:03
HI002008,program,,,,,,,2025-09-12 20:34:03
HJ001007,Employee assistance program,Employee assistance program,,,I,,200301012003,2025-09-12 20:34:03
HK001007,Specialized mental health programs for high-risk populations,Spec hgh rsk mntl hlth pop p,,,I,,200301012003,2025-09-12 20:34:03
HL001007,Intern,Intern,,,I,,200301012003,2025-09-12 20:34:03
HM001007,Less than bachelor degree level,Less than bachelor degree lv,,,I,,200301012003,2025-09-12 20:34:03
HN001007,Bachelors degree level,Bachelors degree level,,,I,,200301012003,2025-09-12 20:34:03
HO001007,Masters degree level,Masters degree level,,,I,,200301012003,2025-09-12 20:34:03
HP001007,Doctoral level,Doctoral level,,,I,,200301012003,2025-09-12 20:34:03
HQ001007,Group setting,Group setting,,,I,,200301012003,2025-09-12 20:34:03
HR001007,Family/couple with client present,Family/couple w client prsnt,,,I,,200301012003,2025-09-12 20:34:03
HS001007,Family/couple without client present,Family/couple w/o client prs,,,I,,200301012003,2025-09-12 20:34:03
HT001007,Multi-disciplinary team,Multi-disciplinary team,,,I,,200301012003,2025-09-12 20:34:03
HU001007,Funded by child welfare agency,Child welfare agency funded,,,I,,200301012003,2025-09-12 20:34:03
HV001007,Funded state addictions agency,Funded state addiction agncy,,,I,,200301012003,2025-09-12 20:34:03
HW001007,Funded by state mental health agency,State mntl hlth agncy funded,,,I,,200301012003,2025-09-12 20:34:03
HX001007,Funded by county/local agency,County/local agency funded,,,I,,200301012003,2025-09-12 20:34:03
HY001007,Funded by juvenile justice agency,Funded by juvenile justice,,,I,,200301012003,2025-09-12 20:34:03
HZ001007,Funded by criminal justice agency,Criminal justice agncy fund,,,I,,200301012003,2025-09-12 20:34:03
J1001007,Competitive acquisition program no-pay submission for a prescription number,Cap no-pay for prescript num,,,C,,200601012006,2025-09-12 20:34:03
J2001007,"Competitive acquisition program, restocking of emergency drugs after emergency",Cap restock of emerg drugs,,,C,,200601012006,2025-09-12 20:34:03
J2002008,administration,,,,,,,2025-09-12 20:34:03
J3001007,"Competitive acquisition program (cap), drug not available through cap as",Cap drug unavail thru cap,,,C,,200601012006,2025-09-12 20:34:03
J3002008,"written, reimbursed under average sales price methodology",,,,,,,2025-09-12 20:34:03
J4001007,Dmepos item subject to dmepos competitive bidding program that is furnished by,Dmepos comp bid furn by hosp,,,C,,201001012010,2025-09-12 20:34:03
J4002008,a hospital upon discharge,,,,,,,2025-09-12 20:34:03
J5001007,Off-the-shelf orthotic subject to dmepos competitive bidding program that is,Dmepos comp bid fur by pt/ot,,,C,,202010012020,2025-09-12 20:34:03
J5002008,furnished as part of a physical therapist or occupational therapist,,,,,,,2025-09-12 20:34:03
J5003008,professional service,,,,,,,2025-09-12 20:34:03
JA001007,Administered intravenously,Administered intravenously,,,C,,200701012007,2025-09-12 20:34:03
JB001007,Administered subcutaneously,Administered subcutaneously,,,C,,200701012007,2025-09-12 20:34:03
JC001007,Skin substitute used as a graft,Skin substitute graft,,,C,,200901012009,2025-09-12 20:34:03
JD001007,Skin substitute not used as a graft,Skin sub not used as a graft,,,C,,200901012009,2025-09-12 20:34:03
JE001007,Administered via dialysate,Administered via dialysate,,,C,,201307012013,2025-09-12 20:34:03
JF001007,Compounded drug,Compounded drug,,,C,,201504012015,2025-09-12 20:34:03
JG001007,"Drug or biological acquired with 340b drug pricing program discount, reported",340b acquired drug,,,C,,201801012025,2025-09-12 20:34:03
JG002008,for informational purposes,,,,,,,2025-09-12 20:34:03
JK001007,One month supply or less of drug or biological,Drug supply 1 month or less,,,C,,202304012023,2025-09-12 20:34:03
JL001007,Three month supply of drug or biological,Drug 3 month supply,,,C,,202304012023,2025-09-12 20:34:03
JW001007,Drug amount discarded/not administered to any patient,Discarded drug not administe,,,C,,200301012003,2025-09-12 20:34:03
JZ001007,Zero drug amount discarded/not administered to any patient,Zero drug wasted,,,C,,202301012023,2025-09-12 20:34:03
K0001007,Lower extremity prosthesis functional level 0 - does not have the ability or,Lwr ext prost functnl lvl 0,,,C,,199301012003,2025-09-12 20:34:03
K0002008,potential to ambulate or transfer safely with or without assistance and a,,,,,,,2025-09-12 20:34:03
K0003008,prosthesis does not enhance their quality of life or mobility.,,,,,,,2025-09-12 20:34:03
K1001007,Lower extremity prosthesis functional level 1 - has the ability or potential to,Lwr ext prost functnl lvl 1,,,C,,199301011997,2025-09-12 20:34:03
K1002008,use a prosthesis for transfers or ambulation on level surfaces at fixed,,,,,,,2025-09-12 20:34:03
K1003008,cadence. typical of the limited and unlimited household ambulator.,,,,,,,2025-09-12 20:34:03
K2001007,Lower extremity prosthesis functional level 2 - has the ability or potential,Lwr ext prost functnl lvl 2,,,C,,199301011997,2025-09-12 20:34:03
K2002008,for ambulation with the ability to traverse low level environmental barriers,,,,,,,2025-09-12 20:34:03
K2003008,"such as curbs, stairs or uneven surfaces.  typical of the limited community",,,,,,,2025-09-12 20:34:03
K2004008,ambulator.,,,,,,,2025-09-12 20:34:03
K3001007,Lower extremity prosthesis functional level 3 - has the ability or potential,Lwr ext prost functnl lvl 3,,,C,,199301011997,2025-09-12 20:34:03
K3002008,for ambulation with variable cadence.  typical of the community ambulator who,,,,,,,2025-09-12 20:34:03
K3003008,has the ability to transverse most environmental barriers and may have,,,,,,,2025-09-12 20:34:03
K3004008,"vocational, therapeutic, or exercise activity that demands prosthetic",,,,,,,2025-09-12 20:34:03
K3005008,utilization beyond simple locomotion.,,,,,,,2025-09-12 20:34:03
K4001007,Lower extremity prosthesis functional level 4 - has the ability or potential,Lwr ext prost functnl lvl 4,,,C,,199301011997,2025-09-12 20:34:03
K4002008,"for prosthetic ambulation that exceeds the basic ambulation skills, exhibiting",,,,,,,2025-09-12 20:34:03
K4003008,"high impact, stress, or energy levels, typical of the prosthetic demands of the",,,,,,,2025-09-12 20:34:03
K4004008,"child, active adult, or athlete.",,,,,,,2025-09-12 20:34:03
KA001007,Add on option/accessory for wheelchair,Wheelchair add-on option/acc,,,C,,199401011997,2025-09-12 20:34:03
KB001007,"Beneficiary requested upgrade for abn, more than 4 modifiers identified on clai",m>4 modifiers on claim,,,C,,200301012003,2025-09-12 20:34:03
